Unnamed: 0,SAMPID,근무 시작 시점 (년),근무 시작 시점 (월),직업 코드 (세분류),직업 코드 (대분류),아버지 직업 (고용직업분류),아버지 직업 (표준직업분류),아버지 종사상지위,아버지 최종학력 변동 여부,아버지 최종학교,어머니 최종학교,어머니 직업 (고용직업분류),어머니 직업 (표준직업분류),주택 종류,"주택 면적 (비단독주택, 평)"
7407,107409,2017.0,5.0,254.0,0.0,8.0,8.0,1.0,1.0,,,0.0,3.0,3.0,9090909.0
7411,107413,2021.0,12.0,3064.0,3.0,6.0,5.0,1.0,1.0,,,6.0,4.0,3.0,16.0
7413,107415,2022.0,9.0,8352.0,8.0,8.0,1.0,1.0,1.0,,,10.0,11.0,1.0,
7414,107416,2020.0,12.0,261.0,0.0,2.0,1.0,1.0,1.0,,,10.0,11.0,2.0,30.0
7415,107417,2022.0,6.0,292.0,0.0,8.0,2.0,1.0,1.0,,,0.0,3.0,3.0,28.0
7416,107418,2021.0,9.0,283.0,0.0,0.0,1.0,1.0,1.0,,,0.0,4.0,3.0,9090909.0
7417,107419,2020.0,7.0,6140.0,6.0,8.0,7.0,3.0,1.0,,,11.0,12.0,3.0,28.0
7418,107420,2022.0,6.0,263.0,0.0,0.0,1.0,1.0,1.0,,,0.0,4.0,3.0,9090909.0
7420,107422,2022.0,10.0,5317.0,5.0,6.0,9.0,1.0,1.0,,,10.0,11.0,2.0,8.0
7421,107423,2021.0,10.0,295.0,0.0,8.0,1.0,3.0,1.0,,,8.0,4.0,2.0,18.0
7423,107425,2022.0,8.0,272.0,0.0,7.0,4.0,1.0,1.0,,,10.0,11.0,2.0,40.0
7428,107430,2020.0,1.0,6140.0,6.0,7.0,7.0,3.0,1.0,,,10.0,11.0,2.0,40.0
7429,107431,2022.0,5.0,4166.0,4.0,10.0,11.0,,1.0,,,6.0,5.0,2.0,32.0
7430,107432,2021.0,3.0,1320.0,1.0,8.0,4.0,2.0,1.0,,,0.0,5.0,2.0,40.0
7436,107438,2021.0,3.0,2121.0,2.0,6.0,3.0,1.0,1.0,,,2.0,3.0,2.0,35.0
7439,107441,2022.0,7.0,2141.0,2.0,2.0,4.0,2.0,1.0,,,10.0,11.0,2.0,35.0
7441,107443,2022.0,10.0,295.0,0.0,0.0,3.0,1.0,1.0,,,0.0,3.0,2.0,35.0
7443,107445,2022.0,5.0,5629.0,5.0,8.0,7.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7444,107446,2022.0,3.0,5322.0,5.0,6.0,8.0,3.0,1.0,,,5.0,4.0,2.0,9090909.0
7445,107447,2016.0,7.0,6223.0,6.0,6.0,8.0,3.0,1.0,,,5.0,4.0,2.0,9090909.0
7446,107448,2021.0,8.0,5113.0,5.0,11.0,12.0,,,,,10.0,11.0,2.0,13.0
7447,107449,2021.0,12.0,8900.0,8.0,5.0,4.0,3.0,1.0,,,5.0,4.0,2.0,9090909.0
7450,107452,2022.0,4.0,5623.0,5.0,3.0,4.0,1.0,1.0,,,2.0,3.0,2.0,33.0
7451,107453,2021.0,3.0,263.0,0.0,6.0,8.0,3.0,1.0,,,10.0,11.0,2.0,9090909.0
7453,107455,2022.0,10.0,6151.0,6.0,7.0,9.0,1.0,1.0,,,5.0,9.0,2.0,25.0
7454,107456,2018.0,10.0,6140.0,6.0,6.0,5.0,3.0,1.0,,,6.0,5.0,2.0,25.0
7456,107458,2022.0,9.0,282.0,0.0,6.0,8.0,3.0,1.0,,,8.0,9.0,2.0,21.0
7458,107460,2019.0,3.0,8114.0,8.0,11.0,12.0,,,,,8.0,7.0,2.0,9090909.0
7468,107470,2018.0,9.0,291.0,0.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,31.0
7469,107471,2022.0,1.0,6230.0,6.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,32.0
7470,107472,2021.0,5.0,5112.0,5.0,8.0,8.0,1.0,1.0,,,5.0,4.0,2.0,28.0
7473,107475,2021.0,9.0,263.0,0.0,8.0,8.0,2.0,1.0,,,0.0,3.0,2.0,32.0
7477,107479,2021.0,12.0,5240.0,5.0,8.0,7.0,3.0,1.0,,,5.0,4.0,3.0,9090909.0
7478,107480,2019.0,12.0,5323.0,5.0,7.0,4.0,3.0,1.0,,,5.0,4.0,3.0,9090909.0
